Table 1,,,
Geographic Area,"Population, 2020","Population, 2021","Population, 2022"
"Vinton County, Ohio","12,804","12,707","12,565"
"Saline County, Illinois","23,688","23,348","23,087"
"Woodward County, Oklahoma","20,406","20,216","19,990"
"White County, Illinois","13,807","13,768","13,614"
"Kodiak Island Borough, Alaska","13,047","12,864","12,720"
"Scioto County, Ohio","73,844","73,012","72,194"
"Nevada County, California","102,249","103,457","102,293"
"Warren County, Georgia","5,208","5,214","5,155"
"Carson City, Nevada","58,683","58,796","58,130"
"Knott County, Kentucky","14,163","14,033","13,874"
"Glenn County, California","28,896","28,664","28,339"
"Macon County, Illinois","103,756","102,649","101,483"
"Blackford County, Indiana","12,111","12,056","11,919"
"Marengo County, Alabama","19,266","18,961","18,745"
"Dukes County, Massachusetts","20,579","21,109","20,868"
"Mason County, West Virginia","25,398","25,290","25,000"
"Hempstead County, Arkansas","19,981","19,679","19,453"
"Duval County, Texas","9,807","10,003","9,888"
"Socorro County, New Mexico","16,558","16,303","16,115"
"Lincoln County, Nebraska","34,534","34,078","33,685"
"Northampton County, Virginia","12,208","12,039","11,900"
"Zavala County, Texas","9,662","9,487","9,377"
"Chaves County, New Mexico","65,148","64,644","63,894"
"Jefferson County, Georgia","15,678","15,494","15,314"
"Montgomery County, Iowa","10,330","10,325","10,205"
"Geary County, Kansas","36,751","36,112","35,691"
"Prowers County, Colorado","12,010","11,994","11,854"
"Rooks County, Kansas","4,895","4,870","4,813"
"Fairfield County, South Carolina","20,880","20,698","20,455"
"Muscogee County, Georgia","206,998","205,024","202,616"
"Calhoun County, Georgia","5,573","5,534","5,469"
"Douglas County, South Dakota","2,829","2,809","2,776"
"Mitchell County, Texas","9,014","9,050","8,943"
"Audubon County, Iowa","5,681","5,665","5,598"
"Knox County, Nebraska","8,396","8,436","8,336"
"Ramsey County, Minnesota","551,699","542,861","536,413"
"Webster County, Georgia","2,352","2,356","2,328"
"Jefferson Davis Parish, Louisiana","32,210","32,413","32,026"
"Tompkins County, New York","99,784","106,044","104,777"
"Kingman County, Kansas","7,412","7,280","7,193"
"Jackson County, Oregon","223,614","224,327","221,644"
"Morgan County, Illinois","32,838","32,599","32,209"
"Wetzel County, West Virginia","14,392","14,195","14,025"
"Calhoun County, Mississippi","13,222","12,936","12,781"
"Jefferson County, Ohio","65,171","65,111","64,330"
"Newton County, Arkansas","7,193","7,164","7,078"
"Clarke County, Mississippi","15,546","15,457","15,271"
"Floyd County, Texas","5,368","5,299","5,235"
"Rapides Parish, Louisiana","129,657","128,748","127,189"
"Rawlins County, Kansas","2,565","2,559","2,528"
"Marin County, California","261,282","259,162","256,018"
"Columbia County, New York","61,403","62,039","61,286"
"Jackson County, Minnesota","9,992","10,015","9,893"
"Roger Mills County, Oklahoma","3,428","3,361","3,320"
"Sussex County, Virginia","10,789","10,812","10,680"
"Baltimore city, Maryland","583,139","576,981","569,931"
"Noxubee County, Mississippi","10,228","10,114","9,990"
"Brewster County, Texas","9,553","9,459","9,343"
"Newton County, Texas","12,157","12,202","12,052"
"Hall County, Texas","2,797","2,845","2,810"
"Pratt County, Kansas","9,148","9,180","9,067"
"Ida County, Iowa","7,019","6,974","6,888"
"Whiteside County, Illinois","55,553","55,342","54,658"
"McIntosh County, North Dakota","2,511","2,506","2,475"
"Culberson County, Texas","2,185","2,182","2,155"
"Union County, Iowa","12,132","12,036","11,887"
"Marion County, Illinois","37,639","37,378","36,914"
"Bienville Parish, Louisiana","12,918","12,800","12,641"
"Dunklin County, Missouri","28,217","27,751","27,406"
"Raleigh County, West Virginia","74,386","73,801","72,882"
"Reynolds County, Missouri","6,077","6,082","6,006"
"Wilkinson County, Georgia","8,824","8,791","8,681"
"Martin County, Minnesota","19,982","19,899","19,650"
"Allen Parish, Louisiana","22,684","22,604","22,320"
"Otero County, Colorado","18,667","18,536","18,303"
"Lamb County, Texas","13,005","12,886","12,724"
"Harding County, New Mexico",655,636,628
"Alleghany County, Virginia","15,186","15,024","14,835"
"Brooks County, Texas","7,057","6,994","6,906"
"West Carroll Parish, Louisiana","9,693","9,596","9,475"
"Hale County, Texas","32,465","32,234","31,827"
"Vermilion County, Illinois","74,001","73,263","72,337"
"Rolette County, North Dakota","12,195","12,086","11,933"
"Norton County, Kansas","5,453","5,369","5,301"
"Monona County, Iowa","8,746","8,595","8,486"
"Yakutat City and Borough, Alaska",684,709,700
"Clark County, Kansas","1,974","1,958","1,933"
"Sioux County, North Dakota","3,882","3,759","3,711"
"Moultrie County, Illinois","14,476","14,509","14,323"
"Sullivan County, Missouri","5,987","5,916","5,840"
"Swain County, North Carolina","14,099","14,149","13,967"
"Breathitt County, Kentucky","13,694","13,527","13,351"
"Lawrence County, Ohio","58,136","57,400","56,653"
"Multnomah County, Oregon","816,467","805,593","795,083"
"Calcasieu Parish, Louisiana","216,465","205,095","202,418"
"Columbia County, Arkansas","22,742","22,510","22,216"
"Jefferson County, Illinois","36,998","36,882","36,400"
"Phillips County, Colorado","4,531","4,508","4,449"
"Johnson County, Kentucky","22,644","22,539","22,244"
"Avoyelles Parish, Louisiana","39,638","39,265","38,751"
"Union Parish, Louisiana","21,090","20,996","20,721"
"Summit County, Colorado","30,994","30,971","30,565"
"Terry County, Texas","11,794","11,721","11,567"
"Marshall County, Minnesota","9,026","8,979","8,861"
"Logan County, Nebraska",715,684,675
"Cook County, Illinois","5,261,249","5,177,606","5,109,292"
"Ouachita County, Arkansas","22,614","22,344","22,049"
"Ward County, Texas","11,680","11,111","10,964"
"Carter County, Missouri","5,202","5,339","5,268"
"Thurston County, Nebraska","6,752","6,595","6,507"
"Potter County, South Dakota","2,480","2,471","2,438"
"San Mateo County, California","762,511","739,060","729,181"
"Blaine County, Oklahoma","8,702","8,523","8,409"
"Scott County, Illinois","4,941","4,855","4,790"
"Lancaster County, Virginia","10,897","10,896","10,750"
"Mendocino County, California","91,361","91,003","89,783"
"Miller County, Georgia","5,988","5,886","5,807"
"Clay County, Kentucky","20,310","20,184","19,913"
"Collingsworth County, Texas","2,638","2,603","2,568"
"Lauderdale County, Mississippi","72,672","71,871","70,904"
"Marion County, South Carolina","29,083","28,839","28,450"
"Logan County, Illinois","27,899","27,970","27,591"
"Harper County, Oklahoma","3,248","3,172","3,129"
"Lake County, Tennessee","6,988","6,597","6,507"
"Washita County, Oklahoma","10,903","10,881","10,732"
"Sherman County, Kansas","5,895","5,911","5,830"
"Brown County, Nebraska","2,902","2,912","2,872"
"Adams County, Mississippi","29,419","28,804","28,408"
"Newport County, Rhode Island","85,508","85,662","84,481"
"Baker County, Georgia","2,851","2,827","2,788"
"Stanton County, Nebraska","5,822","5,797","5,717"
"Wayne County, West Virginia","38,864","38,533","37,998"
"Harlan County, Nebraska","3,057","3,097","3,054"
"Kanawha County, West Virginia","180,217","177,993","175,515"
"Philadelphia County, Pennsylvania","1,600,600","1,589,480","1,567,258"
"Concordia Parish, Louisiana","18,568","18,373","18,116"
"Napa County, California","137,485","136,206","134,300"
"Griggs County, North Dakota","2,297","2,284","2,252"
"Iberia Parish, Louisiana","70,054","69,298","68,327"
"Wolfe County, Kentucky","6,556","6,491","6,400"
"Appanoose County, Iowa","12,285","12,266","12,094"
"Hertford County, North Carolina","21,470","21,172","20,875"
"Bee County, Texas","31,049","30,828","30,394"
"Niobrara County, Wyoming","2,452","2,414","2,380"
"Logan County, Colorado","21,204","21,122","20,823"
"Rock County, Minnesota","9,684","9,674","9,537"
"Franklin County, New York","47,565","47,040","46,373"
"Teton County, Wyoming","23,377","23,622","23,287"
"Wrangell City and Borough, Alaska","2,127","2,100","2,070"
"Yoakum County, Texas","7,675","7,559","7,451"
"Kusilvak Census Area, Alaska","8,373","8,398","8,278"
"Treasure County, Montana",758,769,758
"Trego County, Kansas","2,805","2,792","2,752"
"Knox County, Illinois","49,799","49,347","48,640"
"Logan County, North Dakota","1,890","1,882","1,855"
"Webster County, West Virginia","8,356","8,286","8,167"
"Lincoln County, West Virginia","20,363","20,191","19,901"
"Monroe County, Arkansas","6,774","6,660","6,564"
"Kemper County, Mississippi","8,956","8,781","8,654"
"Hardin County, Illinois","3,641","3,650","3,597"
"Warren County, Illinois","16,828","16,595","16,354"
"Franklin Parish, Louisiana","19,712","19,593","19,308"
"Prince of Wales-Hyder Census Area, Alaska","5,739","5,734","5,650"
"Hancock County, West Virginia","29,037","28,591","28,172"
"Red Lake County, Minnesota","3,940","3,932","3,874"
"Dixon County, Nebraska","5,582","5,546","5,464"
"Branch County, Michigan","44,868","45,202","44,531"
"Webster County, Iowa","36,985","37,178","36,626"
"Fayette County, West Virginia","40,425","40,083","39,487"
"Chase County, Nebraska","3,887","3,829","3,772"
"Huntingdon County, Pennsylvania","44,047","43,937","43,281"
"Dewey County, South Dakota","5,224","5,218","5,140"
"Nodaway County, Missouri","21,000","20,984","20,670"
"Lowndes County, Alabama","10,273","9,926","9,777"
"Marshall County, West Virginia","30,497","30,208","29,752"
"Major County, Oklahoma","7,746","7,617","7,502"
"Kiowa County, Colorado","1,452","1,446","1,424"
"Fisher County, Texas","3,676","3,678","3,622"
"Emmet County, Iowa","9,335","9,318","9,176"
"Chickasaw County, Iowa","11,990","11,899","11,716"
"Hamilton County, Kansas","2,489","2,468","2,430"
"Sedgwick County, Colorado","2,390","2,331","2,295"
"Wilbarger County, Texas","12,844","12,688","12,491"
"Clinton County, New York","79,761","79,996","78,753"
"Bamberg County, South Carolina","13,261","13,112","12,908"
"Union County, Kentucky","13,665","13,166","12,961"
"Cheyenne County, Kansas","2,615","2,624","2,583"
"Texas County, Oklahoma","21,291","20,822","20,495"
"Audrain County, Missouri","24,798","24,824","24,434"
"Calhoun County, West Virginia","6,199","6,165","6,068"
"Baca County, Colorado","3,482","3,487","3,432"
"Crisp County, Georgia","20,050","20,024","19,708"
"Ashley County, Arkansas","18,962","18,649","18,354"
"Richland County, Illinois","15,778","15,685","15,435"
"Union County, Arkansas","38,926","38,364","37,752"
"Caddo Parish, Louisiana","236,928","232,741","229,025"
"Nance County, Nebraska","3,390","3,380","3,326"
"Tucker County, West Virginia","6,753","6,675","6,568"
"Ochiltree County, Texas","9,954","9,763","9,606"
"Calhoun County, Iowa","9,882","9,884","9,725"
"Nelson County, North Dakota","2,993","3,044","2,995"
"Pulaski County, Illinois","5,160","5,073","4,991"
"Lyman County, South Dakota","3,709","3,753","3,692"
"Parmer County, Texas","9,854","9,779","9,620"
"Palo Alto County, Iowa","8,989","8,909","8,764"
"Jewell County, Kansas","2,936","2,946","2,898"
"Greensville County, Virginia","11,382","11,412","11,226"
"Bibb County, Alabama","22,183","22,370","22,005"
"Swisher County, Texas","6,946","6,996","6,881"
"Grant County, Kansas","7,326","7,318","7,197"
"Letcher County, Kentucky","21,465","21,245","20,893"
"La Salle County, Texas","6,664","6,716","6,604"
"Catahoula Parish, Louisiana","8,841","8,712","8,566"
"Webster County, Nebraska","3,390","3,393","3,336"
"Vernon Parish, Louisiana","48,625","48,056","47,247"
"Terrell County, Georgia","9,138","8,904","8,754"
"Greene County, Illinois","11,936","11,851","11,651"
"Fremont County, Iowa","6,567","6,575","6,464"
"Woodruff County, Arkansas","6,228","6,153","6,049"
"Garfield County, Nebraska","1,807","1,832","1,801"
"Chemung County, New York","83,945","82,830","81,426"
"Brooke County, West Virginia","22,472","22,109","21,733"
"Lafourche Parish, Louisiana","97,434","97,537","95,870"
"Del Norte County, California","27,601","27,553","27,082"
"Crosby County, Texas","5,093","5,085","4,998"
"Wibaux County, Montana",937,935,919
"Wallace County, Kansas","1,517","1,514","1,488"
"Greene County, Pennsylvania","35,859","35,269","34,663"
"Adams County, North Dakota","2,187","2,152","2,115"
"Mississippi County, Arkansas","40,544","39,577","38,896"
"Blaine County, Nebraska",431,461,453
"Trinity County, California","16,089","16,061","15,781"
"Wilkinson County, Mississippi","8,524","8,288","8,143"
"Brown County, Illinois","6,233","6,443","6,330"
"Claiborne Parish, Louisiana","14,103","13,990","13,744"
"Sheridan County, Nebraska","5,104","5,086","4,996"
"Clinton County, Kentucky","9,232","9,288","9,123"
"Kings County, New York","2,719,044","2,637,486","2,590,516"
"Lincoln County, Arkansas","12,889","13,151","12,916"
"Seward County, Kansas","21,854","21,747","21,358"
"Montgomery County, Mississippi","9,796","9,704","9,530"
"Ford County, Illinois","13,517","13,491","13,249"
"Northwest Arctic Borough, Alaska","7,790","7,560","7,423"
"Humboldt County, Nevada","17,276","17,591","17,272"
"Arthur County, Nebraska",432,441,433
"Lipscomb County, Texas","3,036","2,907","2,854"
"Dallas County, Arkansas","6,442","6,306","6,191"
"Cavalier County, North Dakota","3,694","3,664","3,597"
"Yazoo County, Mississippi","26,671","26,432","25,948"
"Northampton County, North Carolina","17,435","17,093","16,779"
"Bethel Census Area, Alaska","18,673","18,599","18,257"
"Warren County, Mississippi","44,544","43,450","42,649"
"Issaquena County, Mississippi","1,325","1,297","1,273"
"Jefferson Parish, Louisiana","439,712","433,929","425,884"
"St James Parish, Louisiana","20,117","19,790","19,423"
"Renville County, North Dakota","2,273","2,262","2,220"
"Boone County, West Virginia","21,739","21,367","20,968"
"North Slope Borough, Alaska","11,002","11,011","10,805"
"Pike County, Kentucky","58,443","57,362","56,286"
"Bennett County, South Dakota","3,389","3,400","3,336"
"Logan County, West Virginia","32,510","31,917","31,316"
"Campbell County, South Dakota","1,377","1,375","1,349"
"Bradley County, Arkansas","10,488","10,332","10,135"
"Yukon-Koyukuk Census Area, Alaska","5,296","5,280","5,179"
"Cottonwood County, Minnesota","11,509","11,578","11,356"
"Haskell County, Kansas","3,759","3,646","3,576"
"Chase County, Kansas","2,574","2,598","2,548"
"Coosa County, Alabama","10,341","10,366","10,166"
"Howard County, Texas","34,812","34,336","33,672"
"Orleans Parish, Louisiana","383,218","377,063","369,749"
"Madison County, Ohio","43,853","44,404","43,540"
"Mineral County, Nevada","4,557","4,615","4,525"
"Perry County, Kentucky","28,360","27,906","27,361"
"Chicot County, Arkansas","10,157","10,071","9,873"
"Harlan County, Kentucky","26,752","26,177","25,662"
"Ellis County, Oklahoma","3,739","3,731","3,657"
"Lawrence County, Illinois","15,258","15,216","14,914"
"Carter County, Montana","1,408","1,410","1,382"
"Leslie County, Kentucky","10,471","10,298","10,093"
"Wheeler County, Texas","4,976","4,905","4,807"
"Crane County, Texas","4,673","4,639","4,546"
"Tunica County, Mississippi","9,723","9,652","9,458"
"Fulton County, Kentucky","6,512","6,513","6,382"
"Sutton County, Texas","3,355","3,284","3,217"
"Slope County, North Dakota",695,686,672
"Sunflower County, Mississippi","25,853","25,328","24,811"
"Crowley County, Colorado","5,694","5,731","5,614"
"Rock County, Nebraska","1,266","1,271","1,245"
"New Madrid County, Missouri","16,331","16,024","15,695"
"Osceola County, Iowa","6,202","6,163","6,036"
"Macon County, Alabama","19,473","18,906","18,516"
"Seneca County, New York","33,747","33,576","32,882"
"Sioux County, Nebraska","1,144","1,151","1,127"
"Scott County, Kansas","5,138","5,121","5,014"
"Atkinson County, Georgia","8,311","8,358","8,183"
"Perry County, Illinois","20,882","21,033","20,588"
"Dallas County, Alabama","38,174","37,565","36,767"
"Hidalgo County, New Mexico","4,166","4,090","4,003"
"Mono County, California","13,226","13,261","12,978"
"Jefferson County, Arkansas","66,833","65,649","64,246"
"Hinds County, Mississippi","226,763","222,508","217,730"
"Stonewall County, Texas","1,245","1,208","1,182"
"Queens County, New York","2,388,586","2,328,141","2,278,029"
"Holmes County, Mississippi","16,879","16,476","16,121"
"Ritchie County, West Virginia","8,426","8,388","8,207"
"Lafayette County, Florida","8,214","7,958","7,786"
"Tallahatchie County, Mississippi","12,650","12,302","12,035"
"Edwards County, Kansas","2,883","2,800","2,739"
"Roosevelt County, Montana","10,794","10,808","10,572"
"Randolph County, Georgia","6,368","6,253","6,116"
"Wyoming County, West Virginia","21,317","20,991","20,527"
"Menominee County, Wisconsin","4,256","4,292","4,197"
"Morehouse Parish, Louisiana","25,453","25,000","24,446"
"Manassas Park city, Virginia","17,161","17,082","16,703"
"Hoonah-Angoon Census Area, Alaska","2,362","2,339","2,287"
"Winn Parish, Louisiana","13,721","13,507","13,205"
"Greene County, Alabama","7,702","7,592","7,422"
"Mingo County, West Virginia","23,487","23,094","22,573"
"Dawson County, Texas","12,473","12,412","12,130"
"Lee County, Arkansas","8,528","8,559","8,364"
"Meade County, Kansas","4,054","3,989","3,897"
"Union County, Florida","15,417","15,825","15,460"
"McKinley County, New Mexico","72,578","71,484","69,830"
"Stevens County, Kansas","5,246","5,299","5,175"
"Sierra County, California","3,228","3,295","3,217"
"St Louis city, Missouri","300,483","293,562","286,578"
"Crockett County, Texas","3,094","3,015","2,943"
"Eureka County, Nevada","1,853","1,909","1,863"
"Henderson County, Illinois","6,334","6,304","6,151"
"Dundy County, Nebraska","1,654","1,630","1,590"
"Daniels County, Montana","1,653","1,669","1,628"
"Kittson County, Minnesota","4,198","4,162","4,059"
"Chattahoochee County, Georgia","9,481","9,044","8,819"
"Emporia city, Virginia","5,709","5,622","5,481"
"Boyd County, Nebraska","1,805","1,786","1,741"
"Pemiscot County, Missouri","15,585","15,225","14,841"
"Desha County, Arkansas","11,320","11,050","10,771"
"Hyde County, South Dakota","1,249","1,215","1,184"
"Buchanan County, Virginia","20,249","19,861","19,352"
"Coahoma County, Mississippi","21,230","20,732","20,197"
"Washington County, Mississippi","44,631","43,641","42,514"
"Pecos County, Texas","15,185","15,126","14,735"
"Lee County, Kentucky","7,372","7,454","7,261"
"McPherson County, Nebraska",397,382,372
"Morton County, Kansas","2,697","2,669","2,599"
"Bradford County, Florida","28,224","28,050","27,313"
"Wilcox County, Alabama","10,432","10,331","10,059"
"Kimball County, Nebraska","3,411","3,405","3,315"
"Irwin County, Georgia","9,650","9,375","9,126"
"Buffalo County, South Dakota","1,938","1,912","1,861"
"Lake and Peninsula Borough, Alaska","1,452","1,419","1,381"
"Bolivar County, Mississippi","30,827","30,180","29,370"
"St Charles Parish, Louisiana","52,507","52,405","50,998"
"Decatur County, Kansas","2,765","2,764","2,689"
"Pitkin County, Colorado","17,354","17,350","16,876"
"Upton County, Texas","3,301","3,241","3,152"
"Guadalupe County, New Mexico","4,440","4,432","4,310"
"Twiggs County, Georgia","8,011","7,899","7,680"
"Dooly County, Georgia","11,165","10,881","10,572"
"Humphreys County, Mississippi","7,735","7,548","7,333"
"Union County, New Mexico","4,072","4,097","3,980"
"Jeff Davis County, Texas","1,986","1,959","1,903"
"Presidio County, Texas","6,109","6,115","5,939"
"Reagan County, Texas","3,378","3,228","3,135"
"Bronx County, New York","1,461,125","1,421,089","1,379,946"
"Grant County, North Dakota","2,289","2,311","2,243"
"Plumas County, California","19,749","19,940","19,351"
"Hemphill County, Texas","3,363","3,315","3,217"
"Leflore County, Mississippi","28,191","27,398","26,570"
"Baker County, Florida","28,115","28,673","27,803"
"McDowell County, West Virginia","18,921","18,413","17,850"
"Motley County, Texas","1,063","1,065","1,032"
"Mountrail County, North Dakota","9,807","9,593","9,290"
"DeKalb County, Missouri","11,610","11,708","11,336"
"Hancock County, Georgia","8,708","8,664","8,387"
"Towner County, North Dakota","2,147","2,133","2,064"
"Phillips County, Arkansas","16,443","15,822","15,304"
"Plaquemines Parish, Louisiana","23,458","23,284","22,516"
"Madison Parish, Louisiana","9,923","9,804","9,478"
"Hartley County, Texas","5,349","5,389","5,208"
"Perry County, Alabama","8,458","8,317","8,035"
"Alexander County, Illinois","5,173","5,032","4,858"
"East Carroll Parish, Louisiana","7,397","7,242","6,990"
"McMullen County, Texas",598,597,576
"Schleicher County, Texas","2,445","2,443","2,357"
"Quitman County, Mississippi","6,154","5,911","5,701"
"Mississippi County, Missouri","12,130","12,129","11,688"
"Alpine County, California","1,204","1,235","1,190"
"Cottle County, Texas","1,364","1,357","1,307"
"Allendale County, South Carolina","7,992","7,870","7,579"
"Terrell County, Texas",750,720,693
"Stanton County, Kansas","2,083","2,041","1,963"
"Cameron Parish, Louisiana","5,623","5,099","4,902"
"Terrebonne Parish, Louisiana","109,405","109,013","104,786"
"Forest County, Pennsylvania","6,959","6,896","6,626"
"Jackson County, Colorado","1,378","1,357","1,302"
"Banner County, Nebraska",677,689,660
"Sharkey County, Mississippi","3,769","3,648","3,488"
"Greeley County, Kansas","1,274","1,280","1,223"
"Tensas Parish, Louisiana","4,107","4,034","3,846"
"St John the Baptist Parish, Louisiana","42,355","42,021","39,864"
"Skagway Municipality, Alaska","1,240","1,142","1,081"
"Stewart County, Georgia","5,304","4,914","4,648"
"Wheeler County, Georgia","7,447","7,748","7,314"
"Borden County, Texas",641,621,585
"Lassen County, California","32,317","31,813","29,904"
"Hooker County, Nebraska",706,731,686
"King County, Texas",266,256,233
"Loving County, Texas",65,57,51
